W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741447638600,1.68177,10,10,10,4.36147,12,-4463
W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741451636800,1.61455,10,10,10,4.36147,12,-4463
W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741456636400,1.52078,10,10,10,4.36147,12,-4463
W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741459641600,1.52547,10,10,10,4.36147,12,-4463
W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741464639200,1.66351,10,10,10,4.36147,12,-4463
W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741468637600,1.62707,10,10,10,4.36147,12,-4463
W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741471636900,1.54416,10,10,10,4.36147,12,-4463
W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741475636900,1.61548,10,10,10,4.36147,12,-4463
W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741480637000,1.52377,10,10,10,4.36147,12,-4463
W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741483637400,1.50507,10,10,10,5.35408,12,-4463
W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741488636700,1.61896,10,10,10,5.35408,12,-4463
W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741492636400,1.57483,10,10,10,5.35408,12,-4463
W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741496637200,1.64424,10,10,10,5.35408,12,-4463
W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741499637800,1.56555,10,10,10,5.35408,12,-4463
W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741504636500,1.71655,10,10,10,5.35408,12,-4422
W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741508636700,1.64496,10,10,10,5.35408,12,-4422
W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741511636800,1.65587,10,10,10,5.35408,12,-4422
W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741515636900,1.64045,10,10,10,5.35408,12,-4422
W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741520636400,1.55078,10,10,10,5.35408,12,-4422
W. Europe Standard Time 2026-03-02 16:59:07.625,1772470741523636900,1.71971,10,10,10,5.35408,12,-4422
